Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219848/2021-07-16	EPI_ISL_3219848	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219852/2021-07-19	EPI_ISL_3219852	2021/07/19	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219853/2021-07-21	EPI_ISL_3219853	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219854/2021-07-21	EPI_ISL_3219854	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219857/2021-07-21	EPI_ISL_3219857	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219859/2021-07-22	EPI_ISL_3219859	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219860/2021-07-23	EPI_ISL_3219860	2021/07/23	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219862/2021-07-14	EPI_ISL_3219862	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219863/2021-07-19	EPI_ISL_3219863	2021/07/19	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219866/2021-07-20	EPI_ISL_3219866	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219869/2021-07-26	EPI_ISL_3219869	2021/07/26	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3219871/2021-07-26	EPI_ISL_3219871	2021/07/26	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219896/2021-07-20	EPI_ISL_3219896	2021/07/20	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219897/2021-07-20	EPI_ISL_3219897	2021/07/20	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219901/2021-07-21	EPI_ISL_3219901	2021/07/21	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219903/2021-07-22	EPI_ISL_3219903	2021/07/22	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219905/2021-07-23	EPI_ISL_3219905	2021/07/23	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_3219911/2021-07-19	EPI_ISL_3219911	2021/07/19	SouthAfrica	EasternCape	SouthAfrica - EasternCape
